team,ortg,drtg,pace
Auburn,128.5,93.3,67.6
Louisville,118.1,95.4,68.8
Michigan,116.0,93.7,69.4
UC San Diego,115.0,96.6,65.7
Texas A&M,116.2,92.1,66.1
Yale,115.1,104.1,67.2
North Carolina,119.8,99.2,70.5
Ole Miss,117.9,95.7,68.0
Iowa St.,119.4,92.4,68.6
Lipscomb,112.7,103.2,65.9
Marquette,117.6,96.1,67.6
New Mexico,112.3,95.3,72.7
Michigan St.,118.2,90.5,67.7
Bryant,106.7,105.6,72.5
Alabama St.,101.4,110.6,67.7
Creighton,116.9,98.2,67.0
Florida,128.6,92.4,69.6
UConn,121.9,102.6,63.7
Memphis,113.1,97.7,70.8
Colorado St.,116.0,99.1,66.0
Maryland,118.1,91.8,69.8
Grand Canyon,107.8,100.6,71.4
Missouri,125.3,100.8,68.2
Drake,112.6,98.5,58.8
Texas Tech,125.3,97.2,65.4
UNC Wilmington,112.3,107.1,65.3
Kansas,116.0,92.7,68.4
Arkansas,113.0,95.2,69.3
St. John's,113.9,87.6,70.1
Omaha,111.0,110.6,67.7
Norfolk St.,107.2,108.7,66.3
Oklahoma,119.1,100.7,68.5
Duke,128.0,89.7,65.7
Baylor,120.8,99.7,64.5
Oregon,116.6,96.5,67.6
Liberty,112.6,98.8,65.3
Arizona,122.6,96.8,69.9
Akron,113.9,107.0,71.4
BYU,123.0,100.6,67.2
VCU,116.1,95.9,66.1
Wisconsin,122.0,96.0,67.6
Montana,110.7,110.5,67.0
Saint Mary's,115.3,92.2,61.7
Vanderbilt,118.0,101.8,69.5
Alabama,126.5,96.5,74.8
Robert Morris,107.0,104.9,67.8
Mount St. Mary's,100.1,106.9,67.4
Mississippi St.,118.8,98.6,68.1
Houston,123.2,87.8,61.4
Georgia,115.4,96.0,66.4
Clemson,118.7,94.7,64.3
McNeese,114.3,100.5,65.4
Purdue,124.3,100.4,65.0
High Point,118.5,109.1,66.4
Xavier,115.5,98.3,69.1
Illinois,121.7,98.1,71.3
Kentucky,123.8,99.5,70.9
Troy,107.8,100.6,66.3
UCLA,116.9,95.1,64.9
Utah St.,120.6,105.7,67.5
Tennessee,120.3,89.1,63.6
Wofford,113.7,109.4,64.0
SIUE,101.9,106.2,65.8
Gonzaga,123.5,96.3,70.2
